graph_name,op_name,first_to_last_input,grid_size,bottleneck,bw_limited_factor,measured_pipe_bw,required_pipe_bw,kernel_math_utilization,bw_bound_math_utilization,kernel_total_runtime,kernel_runtime_per_input,bw_bound_total_runtime,bw_bound_runtime_per_input
fwd_0_temporal_epoch_0,ff.bert.encoder.layer.1.output.LayerNorm.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",kernel,1,N/A,N/A,32.49,32.49,591,591,591,591
fwd_1_temporal_epoch_0,mha_0_as_softmax.dc.exp.0,0->0,"[1, 1]",kernel,1,N/A,N/A,82.97,82.97,114164,114164,114164,114164
,norm_mha_0_sub,0->0,"[1, 1]",output,53.17,0.3,16.11,6.2,0.12,2066,2066,109841,109841
,norm_mha_0_recip_s_brcst_m1_0_0.lc1,0->0,"[1, 1]",output,144.63,0.1,14.3,32.99,0.23,582,582,84175,84175
fwd_2_temporal_epoch_1,mha_1_as_softmax.dc.exp.0,0->0,"[1, 1]",kernel,1,N/A,N/A,82.96,82.96,114171,114171,114171,114171
,ff_1_ff1,0->0,"[1, 1]",output,4.93,1.55,7.64,73.49,14.91,17417,17417,85844,85844
,mha_1_as_softmax.dc.reciprocal.2,0->0,"[1, 1]",output,5.1,0.44,2.23,73.04,14.32,14896,14896,75974,75974
