  global_epoch_ids  |  program_names  |        graph_name        |                 warnings                |                                op_name                                 |  first_to_last_input  |  grid_size  |  kernel_total_runtime  |  kernel_runtime_per_input  |  model_runtime_per_input  |  kernel_math_utilization  |  model_math_utilization  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                                         norm_mha_1_sq  |                 0->0  |     [1, 1]  |                  1685  |                      1685  |                     2191  |                    22.79  |                   17.53  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                        norm_ff_0_bias  |                 0->0  |     [1, 1]  |                  1683  |                      1683  |                     2055  |                     7.61  |                    6.23  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                    norm_mha_1_weights  |                 0->0  |     [1, 1]  |                  1650  |                      1650  |                     2635  |                    23.27  |                   14.57  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                                      norm_ff_0_output  |                 0->0  |     [1, 1]  |                  1617  |                      1617  |                     2635  |                    23.75  |                   14.57  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                     norm_mha_1_output  |                 0->0  |     [1, 1]  |                  1610  |                      1610  |                     2635  |                    23.85  |                   14.57  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                     norm_ff_0_weights  |                 0->0  |     [1, 1]  |                  1609  |                      1609  |                     2635  |                    23.87  |                   14.57  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                           norm_ff_1_bias_output_nop_0  |                 0->0  |     [1, 1]  |                  1317  |                      1317  |                     1506  |                     9.72  |                     8.5  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |  ff.reciprocal_of_sqrt_of_head_size_1_s_brcst_m1_0_2.lc1_splt_brcst_2  |                 0->0  |     [1, 1]  |                  1311  |                      1311  |                     3336  |                     9.76  |                    3.84  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                    norm_mha_1_var.lc1  |                 0->0  |     [1, 1]  |                  1262  |                      1262  |                      944  |                    60.86  |                   81.36  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                     norm_ff_0_var.lc1  |                 0->0  |     [1, 1]  |                  1252  |                      1252  |                      944  |                    61.34  |                   81.36  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                     norm_ff_1_var.lc1  |                 0->0  |     [1, 1]  |                  1250  |                      1250  |                      944  |                    61.44  |                   81.36  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                    norm_ff_1_mean.lc1  |                 0->0  |     [1, 1]  |                  1231  |                      1231  |                     1037  |                    62.39  |                   74.06  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                   norm_mha_1_mean.lc1  |                 0->0  |     [1, 1]  |                  1217  |                      1217  |                     1037  |                    63.11  |                   74.06  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |  ff.bert.encoder.layer.1.attention.self.query.bias_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   666  |                       666  |                      296  |                    28.83  |                   64.86  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                norm_ff_0_var_plus_eps  |                 0->0  |     [1, 1]  |                   634  |                       634  |                      631  |                     5.05  |                    5.07  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                norm_ff_1_var_plus_eps  |                 0->0  |     [1, 1]  |                   633  |                       633  |                      631  |                     5.06  |                    5.07  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                               norm_mha_1_var_plus_eps  |                 0->0  |     [1, 1]  |                   624  |                       624  |                      631  |                     5.13  |                    5.07  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                    norm_ff_0_recip_s_brcst_m1_0_0.lc1  |                 0->0  |     [1, 1]  |                   597  |                       597  |                      399  |                    32.16  |                   48.12  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |       lc.input_tensor.mha_1_as_softmax.dc.reduce_sum.1.0_splt_brcst_1  |                 0->0  |     [1, 1]  |                   593  |                       593  |                     1444  |                      5.4  |                    2.22  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                   norm_mha_1_recip_s_brcst_m1_0_0.lc1  |                 0->0  |     [1, 1]  |                   584  |                       584  |                      399  |                    32.88  |                   48.12  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |  ff.bert.encoder.layer.1.attention.self.value.bias_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   579  |                       579  |                      392  |                    33.16  |                   48.98  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                    norm_ff_1_recip_s_brcst_m1_0_0.lc1  |                 0->0  |     [1, 1]  |                   578  |                       578  |                      399  |                    33.22  |                   48.12  
