global_epoch_ids,program_names,graph_name,warnings,op_name,first_to_last_input,grid_size,operand,source/dest,pipe_type,required_kernel_bw,pipe_bw,percentage_of_difference
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_weights,0->0,"[1, 1]",input-1,e2e_ff.bert.encoder.layer.0.output.LayerNorm.weight_s_brcst_m2_0_0.lc1_0,input-queue-pipe,20.68,N/A,N/A
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_bias,0->0,"[1, 1]",input-1,e2e_ff.bert.encoder.layer.1.output.LayerNorm.bias_s_brcst_m2_0_0.lc1_0,input-queue-pipe,19.06,N/A,N/A
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_key.bias,0->0,"[1, 1]",input-1,e2e_ff.bert.encoder.layer.1.attention.self.key.bias_s_brcst_m2_0_0.lc1_0,input-queue-pipe,11.06,N/A,N/A
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff_1_ff1.bias,0->0,"[1, 1]",input-1,e2e_ff.bert.encoder.layer.1.intermediate.dense.bias_s_brcst_m2_0_0.lc1_0,input-queue-pipe,23.02,N/A,N/A
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_output.bias,0->0,"[1, 1]",input-1,e2e_ff.bert.encoder.layer.1.attention.output.dense.bias_s_brcst_m2_0_0.lc1_0,input-queue-pipe,19.15,N/A,N/A
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff_1_ff2.bias,0->0,"[1, 1]",input-1,e2e_ff.bert.encoder.layer.1.output.dense.bias_s_brcst_m2_0_0.lc1_0,input-queue-pipe,19.16,N/A,N/A
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_sub,0->0,"[1, 1]",input-0,e2e_add_ff_0_0,input-queue-pipe,16.29,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_sub,0->0,"[1, 1]",input-1,e2e_norm_ff_0_mean.lc1_0,input-queue-pipe,16.29,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_weights,0->0,"[1, 1]",input-0,norm_ff_0_output,input-op-pipe,20.68,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff.reciprocal_of_sqrt_of_head_size_1_s_brcst_m1_0_2.lc1_splt_brcst_2,0->0,"[1, 1]",input-0,e2e_ff.reciprocal_of_sqrt_of_head_size_1_s_brcst_m1_0_2.lc1_0,input-queue-pipe,25.39,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.attention.self.value.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",input-0,lc.input_tensor.ff.bert.encoder.layer.1.attention.self.value.bias_s_brcst_m2_0_0.0,input-queue-pipe,3.59,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.attention.self.value.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",input-1,ff.bert.encoder.layer.1.attention.self.value.bias,input-queue-pipe,14.37,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_sub,0->0,"[1, 1]",input-0,add_mha_1,input-op-pipe,16.64,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_weights,0->0,"[1, 1]",input-1,e2e_ff.bert.encoder.layer.1.attention.output.LayerNorm.weight_s_brcst_m2_0_0.lc1_0,input-queue-pipe,20.17,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_mean.lc1,0->0,"[1, 1]",input-0,add_ff_1,input-op-pipe,27.03,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_mean.lc1,0->0,"[1, 1]",input-1,lc.input_tensor.norm_ff_1_mean.0,input-queue-pipe,6.76,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_output,0->0,"[1, 1]",input-0,norm_ff_1_sub,input-op-pipe,16.47,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_bias,0->0,"[1, 1]",input-0,norm_ff_0_weights,input-op-pipe,19.77,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_bias,0->0,"[1, 1]",input-1,e2e_ff.bert.encoder.layer.0.output.LayerNorm.bias_s_brcst_m2_0_0.lc1_0,input-queue-pipe,19.77,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_value,0->0,"[1, 1]",input-1,ff.bert.encoder.layer.1.attention.self.value.weight,input-queue-pipe,8.46,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_bias,0->0,"[1, 1]",input-1,e2e_ff.bert.encoder.layer.1.attention.output.LayerNorm.bias_s_brcst_m2_0_0.lc1_0,input-queue-pipe,19.46,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_weights,0->0,"[1, 1]",input-1,e2e_ff.bert.encoder.layer.1.output.LayerNorm.weight_s_brcst_m2_0_0.lc1_0,input-queue-pipe,16.43,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_var.lc1,0->0,"[1, 1]",input-0,norm_ff_0_sq,input-op-pipe,26.58,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_var.lc1,0->0,"[1, 1]",input-1,lc.input_tensor.norm_ff_0_var.0,input-queue-pipe,6.65,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_key,0->0,"[1, 1]",input-0,norm_ff_0_bias,input-op-pipe,8.67,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_key,0->0,"[1, 1]",input-1,ff.bert.encoder.layer.1.attention.self.key.weight,input-queue-pipe,8.67,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_value.bias,0->0,"[1, 1]",input-0,mha_1_value,input-op-pipe,16.37,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_var.lc1,0->0,"[1, 1]",input-0,norm_mha_1_sq,input-op-pipe,26.37,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_var.lc1,0->0,"[1, 1]",input-1,lc.input_tensor.norm_mha_1_var.0,input-queue-pipe,6.59,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff_1_ff1,0->0,"[1, 1]",input-0,norm_mha_1_bias,input-op-pipe,1.91,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff_1_ff1,0->0,"[1, 1]",input-1,ff.bert.encoder.layer.1.intermediate.dense.weight,input-queue-pipe,7.64,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_sq,0->0,"[1, 1]",input-0,norm_ff_1_sub,input-op-pipe,19.18,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_sq,0->0,"[1, 1]",input-1,norm_ff_1_sub,input-op-pipe,19.18,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_bias,0->0,"[1, 1]",input-0,norm_ff_1_weights,input-op-pipe,19.06,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_var_plus_eps,0->0,"[1, 1]",input-1,constant_1_norm_ff_0_var_plus_eps,input-queue-pipe,13.12,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_key.bias,0->0,"[1, 1]",input-0,mha_1_key,input-op-pipe,11.06,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_var_plus_eps,0->0,"[1, 1]",input-0,norm_mha_1_var.lc1,input-op-pipe,13.33,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_var_plus_eps,0->0,"[1, 1]",input-1,constant_1_norm_mha_1_var_plus_eps,input-queue-pipe,13.33,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_var.lc1,0->0,"[1, 1]",input-1,lc.input_tensor.norm_ff_1_var.0,input-queue-pipe,6.66,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.attention.self.query.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",input-0,lc.input_tensor.ff.bert.encoder.layer.1.attention.self.query.bias_s_brcst_m2_0_0.0,input-queue-pipe,3.12,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.attention.self.query.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",input-1,ff.bert.encoder.layer.1.attention.self.query.bias,input-queue-pipe,12.49,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,lc.input_tensor.mha_1_as_softmax.dc.reduce_sum.1.0_splt_brcst_1,0->0,"[1, 1]",input-0,lc.input_tensor.mha_1_as_softmax.dc.reduce_sum.1.0,input-queue-pipe,14.03,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_output,0->0,"[1, 1]",input-0,mha_1_ac,input-op-pipe,8.94,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_output,0->0,"[1, 1]",input-1,ff.bert.encoder.layer.1.attention.output.dense.weight,input-queue-pipe,8.94,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_var_plus_eps,0->0,"[1, 1]",input-0,norm_ff_1_var.lc1,input-op-pipe,13.14,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_var_plus_eps,0->0,"[1, 1]",input-1,constant_1_norm_ff_1_var_plus_eps,input-queue-pipe,13.14,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_recip,0->0,"[1, 1]",input-0,norm_ff_0_sqrt,input-op-pipe,2.09,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_query,0->0,"[1, 1]",input-0,norm_ff_0_bias,input-op-pipe,8.81,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_query,0->0,"[1, 1]",input-1,ff.bert.encoder.layer.1.attention.self.query.weight,input-queue-pipe,8.81,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_as_softmax.dc.reduce_sum.1.lc1,0->0,"[1, 1]",input-1,lc.input_tensor.mha_1_as_softmax.dc.reduce_sum.1.0_splt_brcst_1,input-op-pipe,8.53,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_output.bias,0->0,"[1, 1]",input-0,mha_1_output,input-op-pipe,19.15,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_recip,0->0,"[1, 1]",input-0,norm_mha_1_sqrt,input-op-pipe,2.08,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff_1_ff2,0->0,"[1, 1]",input-0,ff1_gelu,input-op-pipe,9,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff_1_ff2,0->0,"[1, 1]",input-1,ff.bert.encoder.layer.1.output.dense.weight,input-queue-pipe,9,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_sqrt,0->0,"[1, 1]",input-0,norm_ff_1_var_plus_eps,input-op-pipe,2.15,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_recip_s_brcst_m1_0_0.lc1,0->0,"[1, 1]",input-1,lc.input_tensor.norm_ff_0_recip_s_brcst_m1_0_0.0,input-queue-pipe,3.48,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_recip_s_brcst_m1_0_0.lc1,0->0,"[1, 1]",input-0,norm_mha_1_recip,input-op-pipe,14.25,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_recip_s_brcst_m1_0_0.lc1,0->0,"[1, 1]",input-1,lc.input_tensor.norm_mha_1_recip_s_brcst_m1_0_0.0,input-queue-pipe,3.56,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff_1_ff2.bias,0->0,"[1, 1]",input-0,ff_1_ff2,input-op-pipe,19.16,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_recip,0->0,"[1, 1]",input-0,norm_ff_1_sqrt,input-op-pipe,2.09,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_as,0->0,"[1, 1]",input-0,mha_1_query.bias,input-op-pipe,4.08,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_mean.lc1,0->0,"[1, 1]",input-0,add_mha_1,input-op-pipe,27.35,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_mean.lc1,0->0,"[1, 1]",input-1,lc.input_tensor.norm_mha_1_mean.0,input-queue-pipe,6.84,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_output,0->0,"[1, 1]",input-0,norm_mha_1_sub,input-op-pipe,20.67,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_output,0->0,"[1, 1]",input-1,norm_mha_1_recip_s_brcst_m1_0_0.lc1,input-op-pipe,20.67,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,add_ff_1,0->0,"[1, 1]",input-0,norm_mha_1_bias,input-op-pipe,15.99,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_recip_s_brcst_m1_0_0.lc1,0->0,"[1, 1]",input-0,norm_ff_1_recip,input-op-pipe,14.39,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_recip_s_brcst_m1_0_0.lc1,0->0,"[1, 1]",input-1,lc.input_tensor.norm_ff_1_recip_s_brcst_m1_0_0.0,input-queue-pipe,3.6,0,-100
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,lc.input_tensor.mha_1_as_softmax.dc.reduce_sum.1.0_splt_brcst_1,0->0,"[1, 1]",output,mha_1_as_softmax.dc.reduce_sum.1.lc1,output-op-pipe,14.03,0.24,-98.29
[2],['run_fwd'],fwd_2_temporal_epoch_1,,norm_ff_1_sub,0->0,"[1, 1]",output,<norm_ff_1_sq><norm_ff_1_output>,output-op-pipe,16.31,0.56,-96.57
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,add_ff_1,0->0,"[1, 1]",output,<norm_ff_1_sub><norm_ff_1_mean.lc1>,output-op-pipe,15.99,0.58,-96.37
[2],['run_fwd'],fwd_2_temporal_epoch_1,,add_mha_1,0->0,"[1, 1]",output,<norm_mha_1_sub><norm_mha_1_mean.lc1>,output-op-pipe,16.2,0.87,-94.63
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_weights,0->0,"[1, 1]",output,norm_ff_1_bias,output-op-pipe,16.43,0.96,-94.16
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_recip_s_brcst_m1_0_0.lc1,0->0,"[1, 1]",output,norm_mha_1_output,output-op-pipe,14.25,0.98,-93.12
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_bias,0->0,"[1, 1]",output,<ff_1_ff1><add_ff_1>,output-op-pipe,19.46,1.52,-92.19
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff.reciprocal_of_sqrt_of_head_size_1_s_brcst_m1_0_2.lc1_splt_brcst_2,0->0,"[1, 1]",output,mha_1_as_div,output-op-pipe,25.39,2.1,-91.73
[2],['run_fwd'],fwd_2_temporal_epoch_1,,mha_1_as_div,0->0,"[1, 1]",output,mha_1_as_mask,output-op-pipe,23.64,2.11,-91.07
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_as_softmax.dc.reduce_sum.1.lc1,0->0,"[1, 1]",input-0,mha_1_as_softmax.dc.exp.0,input-op-pipe,34.12,3.1,-90.91441969519343
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_recip_s_brcst_m1_0_0.lc1,0->0,"[1, 1]",output,norm_ff_0_output,output-op-pipe,13.94,1.62,-88.38
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_recip_s_brcst_m1_0_0.lc1,0->0,"[1, 1]",output,norm_ff_1_output,output-op-pipe,14.39,1.83,-87.28
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.attention.self.query.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",output,mha_1_query.bias,output-op-pipe,12.49,1.83,-85.35
[2],['run_fwd'],fwd_2_temporal_epoch_1,,norm_ff_0_output,0->0,"[1, 1]",input-1,norm_ff_0_recip_s_brcst_m1_0_0.lc1,input-op-pipe,20.58,3.32,-83.86783284742468
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.attention.self.value.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",output,mha_1_value.bias,output-op-pipe,14.37,2.32,-83.86
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_sub,0->0,"[1, 1]",input-1,norm_mha_1_mean.lc1,input-op-pipe,16.64,3.19,-80.82932692307693
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_value,0->0,"[1, 1]",output,mha_1_value.bias,output-op-pipe,8.46,1.65,-80.5
[2],['run_fwd'],fwd_2_temporal_epoch_1,,mha_1_as_softmax.dc.reciprocal.2,0->0,"[1, 1]",output,mha_1_as_softmax.dc.multiply.3,output-op-pipe,2.23,0.44,-80.27
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff_1_ff1,0->0,"[1, 1]",output,ff_1_ff1.bias,output-op-pipe,7.64,1.55,-79.71
[2],['run_fwd'],fwd_2_temporal_epoch_1,,norm_ff_1_sub,0->0,"[1, 1]",input-0,add_ff_1,input-op-pipe,16.31,3.41,-79.09258123850398
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_recip_s_brcst_m1_0_0.lc1,0->0,"[1, 1]",input-0,norm_ff_0_recip,input-op-pipe,13.94,2.97,-78.69440459110473
[2],['run_fwd'],fwd_2_temporal_epoch_1,,mha_1_ac,0->0,"[1, 1]",input-0,mha_1_as_softmax.dc.multiply.3,input-op-pipe,33.63,8.69,-74.15997621171574
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_bias,0->0,"[1, 1]",output,<mha_1_query><mha_1_value><mha_1_key><add_mha_1>,output-op-pipe,19.77,5.21,-73.65
[2],['run_fwd'],fwd_2_temporal_epoch_1,,mha_1_as_mask,0->0,"[1, 1]",output,mha_1_as_softmax.dc.exp.0,output-op-pipe,22.04,6.56,-70.24
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_sub,0->0,"[1, 1]",output,<norm_mha_1_sq><norm_mha_1_output>,output-op-pipe,16.64,5.01,-69.89
[2],['run_fwd'],fwd_2_temporal_epoch_1,,add_mha_1,0->0,"[1, 1]",input-0,norm_ff_0_bias,input-op-pipe,16.2,5.11,-68.45679012345678
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_mean.lc1,0->0,"[1, 1]",output,norm_mha_1_sub,output-op-pipe,6.84,2.18,-68.13
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_mean.lc1,0->0,"[1, 1]",output,norm_ff_1_sub,output-op-pipe,6.76,2.3,-65.98
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_sub,0->0,"[1, 1]",output,<norm_ff_0_sq><norm_ff_0_output>,output-op-pipe,16.29,6.13,-62.37
[2],['run_fwd'],fwd_2_temporal_epoch_1,,norm_mha_1_sq,0->0,"[1, 1]",input-0,norm_mha_1_sub,input-op-pipe,19.75,7.44,-62.32911392405063
[2],['run_fwd'],fwd_2_temporal_epoch_1,,mha_1_as_mask,0->0,"[1, 1]",input-0,mha_1_as_div,input-op-pipe,22.04,8.33,-62.20508166969147
[2],['run_fwd'],fwd_2_temporal_epoch_1,,mha_1_as_softmax.dc.multiply.3,0->0,"[1, 1]",input-0,mha_1_as_softmax.dc.exp.0,input-op-pipe,17.8,7.01,-60.617977528089895
