global_epoch_ids,program_names,graph_name,warnings,op_name,first_to_last_input,grid_size,kernel_total_runtime,kernel_runtime_per_input,model_runtime_per_input,kernel_math_utilization,model_math_utilization,bw_limited_factor,slowest_operand,bw_bound_total_runtime,bw_bound_runtime_per_input,bw_bound_math_utilization,output_pipe_bw_0,required_output_pipe_bw_0,input_pipe_bw_0,required_input_bw_0,input_pipe_bw_1,required_input_bw_1,input_pipe_bw_2,required_input_bw_2,input_pipe_bw_3,required_input_bw_3,input_pipe_bw_4,required_input_bw_4,input_pipe_bw_5,required_input_bw_5,input_pipe_bw_6,required_input_bw_6,input_pipe_bw_7,required_input_bw_7
[2],['run_fwd'],fwd_2_temporal_epoch_1,,mha_1_as_softmax.dc.exp.0,0->0,"[1, 1]",114171,114171,113920,82.96,83.15,1,N/A,114171,114171,82.96,1.83,1.17,7.13,1.17,,,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff_1_ff1,0->0,"[1, 1]",17417,17417,17420,73.49,73.48,4.93,output,85844,85844,14.91,1.55,7.64,0,1.91,0,7.64,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,,mha_1_as_softmax.dc.reciprocal.2,0->0,"[1, 1]",14896,14896,14688,73.04,74.07,5.1,output,75974,75974,14.32,0.44,2.23,8.69,2.23,,,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,,mha_1_as_div,0->0,"[1, 1]",5631,5631,10541,27.28,14.57,11.2,output,63051,63051,2.44,2.11,23.64,9.92,23.64,9.54,23.64,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,,norm_ff_1_sub,0->0,"[1, 1]",2040,2040,3462,6.27,3.7,29.19,output,59544,59544,0.21,0.56,16.31,3.41,16.31,7.23,16.31,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,add_ff_1,0->0,"[1, 1]",2081,2081,3461,6.15,3.7,27.39,output,56990,56990,0.22,0.58,15.99,0,15.99,7.72,15.99,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_as_softmax.dc.reduce_sum.1.lc1,0->0,"[1, 1]",3902,3902,3778,78.73,81.31,11,input-0,42917.33,42917,7.16,32.31,8.53,3.1,34.12,0,8.53,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,,add_mha_1,0->0,"[1, 1]",2054,2054,3461,6.23,3.7,18.65,output,38310,38310,0.33,0.87,16.2,5.11,16.2,8.25,16.2,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_weights,0->0,"[1, 1]",2025,2025,3523,18.96,10.9,17.06,output,34540,34540,1.11,0.96,16.43,8.04,16.43,0,16.43,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,lc.input_tensor.mha_1_as_softmax.dc.reduce_sum.1.0_splt_brcst_1,0->0,"[1, 1]",593,593,1444,5.4,2.22,57.45,output,34069,34069,0.09,0.24,14.03,0,14.03,,,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_bias,0->0,"[1, 1]",1710,1710,2055,7.49,6.23,12.81,output,21912,21912,0.58,1.52,19.46,10.46,19.46,0,19.46,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,,mha_1_as_mask,0->0,"[1, 1]",6040,6040,8223,8.48,6.23,3.36,output,20294,20294,2.52,6.56,22.04,8.33,22.04,10.76,22.04,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_value,0->0,"[1, 1]",3934,3934,4044,78.09,75.96,5.13,output,20169,20169,15.23,1.65,8.46,9.21,8.46,0,8.46,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,,mha_1_as_softmax.dc.multiply.3,0->0,"[1, 1]",7477,7477,14093,20.54,10.9,2.54,input-0,18980,18980,8.09,7.67,17.8,7.01,17.8,8.57,17.8,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,,ff1_gelu,0->0,"[1, 1]",17999,17999,17370,48.36,50.11,1,N/A,17999,17999,48.36,188.56,7.4,17.08,7.4,,,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_as,0->0,"[1, 1]",8150,8150,6388,37.69,48.09,2,output,16266,16266,18.89,8.18,16.33,0,4.08,7.5,4.08,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff.reciprocal_of_sqrt_of_head_size_1_s_brcst_m1_0_2.lc1_splt_brcst_2,0->0,"[1, 1]",1311,1311,3336,9.76,3.84,12.09,output,15852,15852,0.81,2.1,25.39,0,25.39,,,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,,mha_1_ac,0->0,"[1, 1]",3958,3958,3778,77.61,81.31,3.87,input-0,15324.8,15325,20.05,6.67,8.41,8.69,33.63,8.78,8.41,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff_1_ff2,0->0,"[1, 1]",14791,14791,14491,83.94,85.68,1,N/A,14791,14791,83.94,88.75,2.25,0,9,0,9,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_sub,0->0,"[1, 1]",2000,2000,3462,6.4,3.7,5.22,input-1,10436,10436,1.23,5.01,16.64,0,16.64,3.19,16.64,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,,norm_ff_0_output,0->0,"[1, 1]",1617,1617,2635,23.75,14.57,6.19,input-1,10010.67,10011,3.84,90.19,20.58,8.76,20.58,3.32,20.58,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_recip_s_brcst_m1_0_0.lc1,0->0,"[1, 1]",584,584,399,32.88,48.12,14.58,output,8512,8512,2.26,0.98,14.25,0,14.25,0,3.56,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff_1_ff1.bias,0->0,"[1, 1]",5784,5784,8223,8.85,6.23,1.34,input-0,7762.67,7763,6.6,189.36,23.02,17.15,23.02,N/A,23.02,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_bias,0->0,"[1, 1]",1683,1683,2055,7.61,6.23,3.79,output,6386,6386,2,5.21,19.77,0,19.77,0,19.77,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_sub,0->0,"[1, 1]",2043,2043,3462,6.27,3.7,2.66,output,5430,5430,2.36,6.13,16.29,0,16.29,0,16.29,,,,,,,,,,,,
