  global_epoch_ids  |  program_names  |        graph_name        |                 warnings                |                                    op_name                                     |  first_to_last_input  |  grid_size  |  kernel_total_runtime  |  kernel_runtime_per_input  |  model_runtime_per_input  |  kernel_math_utilization  |  model_math_utilization  
============================================================================================================================================================================================================================================================================================================================================================================
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |                                                     mha_0_as_softmax.dc.exp.0  |                 0->0  |     [1, 1]  |                114164  |                    114164  |                   113920  |                    82.97  |                   83.15  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |                                                                      ff0_gelu  |                 0->0  |     [1, 1]  |                 18014  |                     18014  |                    17370  |                    48.32  |                   50.11  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                                      ff_0_ff1  |                 0->0  |     [1, 1]  |                 17554  |                     17554  |                    17420  |                    72.92  |                   73.48  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |                                              mha_0_as_softmax.dc.reciprocal.2  |                 0->0  |     [1, 1]  |                 14898  |                     14898  |                    14688  |                    73.03  |                   74.07  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                                      ff_0_ff2  |                 0->0  |     [1, 1]  |                 14807  |                     14807  |                    14491  |                    83.85  |                   85.68  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                                      mha_0_as  |                 0->0  |     [1, 1]  |                  8189  |                      8189  |                     6388  |                    37.51  |                   48.09  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |                                                mha_0_as_softmax.dc.multiply.3  |                 0->0  |     [1, 1]  |                  7445  |                      7445  |                    14093  |                    20.63  |                    10.9  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |                                                                 mha_0_as_mask  |                 0->0  |     [1, 1]  |                  5663  |                      5663  |                     8223  |                     9.04  |                    6.23  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |                                                                  mha_0_as_div  |                 0->0  |     [1, 1]  |                  5405  |                      5405  |                    10541  |                    28.42  |                   14.57  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |                                                                 ff_0_ff1.bias  |                 0->0  |     [1, 1]  |                  5312  |                      5312  |                     8223  |                     9.64  |                    6.23  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                              norm_mha_0_recip  |                 0->0  |     [1, 1]  |                  3998  |                      3998  |                     3648  |                    68.03  |                   74.56  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                                   mha_0_value  |                 0->0  |     [1, 1]  |                  3993  |                      3993  |                     4044  |                    76.93  |                   75.96  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |                                          mha_0_as_softmax.dc.reduce_sum.1.lc1  |                 0->0  |     [1, 1]  |                  3980  |                      3980  |                     3778  |                    77.19  |                   81.31  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |                                                                      mha_0_ac  |                 0->0  |     [1, 1]  |                  3927  |                      3927  |                     3778  |                    78.23  |                   81.31  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                                     mha_0_key  |                 0->0  |     [1, 1]  |                  3891  |                      3891  |                     4044  |                    78.95  |                   75.96  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                               norm_mha_0_sqrt  |                 0->0  |     [1, 1]  |                  3881  |                      3881  |                     3648  |                     67.2  |                   71.49  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                                   mha_0_query  |                 0->0  |     [1, 1]  |                  3808  |                      3808  |                     3618  |                    80.67  |                   84.91  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                                  mha_0_output  |                 0->0  |     [1, 1]  |                  3782  |                      3782  |                     3618  |                    81.23  |                   84.91  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                                mha_0_key.bias  |                 0->0  |     [1, 1]  |                  3001  |                      3001  |                     5335  |                     4.27  |                     2.4  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |                                                              mha_0_query.bias  |                 0->0  |     [1, 1]  |                  3000  |                      3000  |                     5335  |                     4.27  |                     2.4  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                                norm_mha_0_sub  |                 0->0  |     [1, 1]  |                  2066  |                      2066  |                     3462  |                      6.2  |                     3.7  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                              mha_0_value.bias  |                 0->0  |     [1, 1]  |                  2065  |                      2065  |                     3461  |                      6.2  |                     3.7  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                                     add_mha_0  |                 0->0  |     [1, 1]  |                  2047  |                      2047  |                     3461  |                     6.25  |                     3.7  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                                      add_ff_0  |                 0->0  |     [1, 1]  |                  2017  |                      2017  |                     3461  |                     6.35  |                     3.7  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |                                                                 norm_mha_0_sq  |                 0->0  |     [1, 1]  |                  1734  |                      1734  |                     2191  |                    22.15  |                   17.53  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |                                                               norm_mha_0_bias  |                 0->0  |     [1, 1]  |                  1723  |                      1723  |                     2055  |                     7.43  |                    6.23  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |                                                             mha_0_output.bias  |                 0->0  |     [1, 1]  |                  1715  |                      1715  |                     2055  |                     7.46  |                    6.23  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |                                                                 ff_0_ff2.bias  |                 0->0  |     [1, 1]  |                  1702  |                      1702  |                     2055  |                     7.52  |                    6.23  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |                                                            norm_mha_0_weights  |                 0->0  |     [1, 1]  |                  1593  |                      1593  |                     2635  |                    24.11  |                   14.57  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                             norm_mha_0_output  |                 0->0  |     [1, 1]  |                  1592  |                      1592  |                     2635  |                    24.12  |                   14.57  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                             attention_mask_s_brcst_m2_0_1.lc1  |                 0->0  |     [1, 1]  |                  1525  |                      1525  |                     1184  |                    50.36  |                   64.86  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |            ff.bert.encoder.layer.0.intermediate.dense.bias_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                  1439  |                      1439  |                      991  |                    53.37  |                    77.5  
