  global_epoch_ids  |  program_names  |        graph_name        |                 warnings                |                                    op_name                                     |  first_to_last_input  |  grid_size  |  kernel_total_runtime  |  kernel_runtime_per_input  |  model_runtime_per_input  |  kernel_math_utilization  |  model_math_utilization  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                             attention_mask_s_brcst_m2_1_1.lc1  |                 0->0  |     [1, 1]  |                  1431  |                      1431  |                     1184  |                    53.67  |                   64.86  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |            ff.bert.encoder.layer.1.intermediate.dense.bias_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                  1414  |                      1414  |                      991  |                    54.31  |                    77.5  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |                                         |          ff.reciprocal_of_sqrt_of_head_size_0_s_brcst_m1_0_2.lc1_splt_brcst_2  |                 0->0  |     [1, 1]  |                  1325  |                      1325  |                     3336  |                     9.66  |                    3.84  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                            norm_mha_0_var.lc1  |                 0->0  |     [1, 1]  |                  1257  |                      1257  |                      944  |                     61.1  |                   81.36  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                           norm_mha_0_mean.lc1  |                 0->0  |     [1, 1]  |                  1249  |                      1249  |                     1037  |                    61.49  |                   74.06  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                            norm_ff_0_mean.lc1  |                 0->0  |     [1, 1]  |                  1230  |                      1230  |                     1037  |                    62.44  |                   74.06  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                       ff.reciprocal_of_sqrt_of_head_size_1_s_brcst_m1_0_2.lc1  |                 0->0  |     [1, 1]  |                   919  |                       919  |                      585  |                    20.89  |                   32.82  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                       ff.reciprocal_of_sqrt_of_head_size_1_s_brcst_m2_0_1.lc1  |                 0->0  |     [1, 1]  |                   917  |                       917  |                      585  |                    20.94  |                   32.82  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                       ff.reciprocal_of_sqrt_of_head_size_0_s_brcst_m2_0_1.lc1  |                 0->0  |     [1, 1]  |                   905  |                       905  |                      585  |                    21.22  |                   32.82  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                       ff.reciprocal_of_sqrt_of_head_size_0_s_brcst_m1_0_2.lc1  |                 0->0  |     [1, 1]  |                   905  |                       905  |                      585  |                    21.22  |                   32.82  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |            ff.bert.encoder.layer.0.output.LayerNorm.weight_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   689  |                       689  |                      296  |                    27.87  |                   64.86  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |  ff.bert.encoder.layer.1.attention.output.LayerNorm.weight_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   687  |                       687  |                      296  |                    27.95  |                   64.86  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |    ff.bert.encoder.layer.1.attention.output.LayerNorm.bias_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   683  |                       683  |                      296  |                    28.11  |                   64.86  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |        ff.bert.encoder.layer.1.attention.output.dense.bias_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   682  |                       682  |                      296  |                    28.15  |                   64.86  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |              ff.bert.encoder.layer.0.output.LayerNorm.bias_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   666  |                       666  |                      296  |                    28.83  |                   64.86  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |        ff.bert.encoder.layer.0.attention.output.dense.bias_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   664  |                       664  |                      296  |                    28.92  |                   64.86  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                  ff.bert.encoder.layer.1.output.dense.bias_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   663  |                       663  |                      296  |                    28.96  |                   64.86  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |  ff.bert.encoder.layer.0.attention.output.LayerNorm.weight_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   663  |                       663  |                      296  |                    28.96  |                   64.86  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                  ff.bert.encoder.layer.0.output.dense.bias_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   662  |                       662  |                      296  |                       29  |                   64.86  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |    ff.bert.encoder.layer.0.attention.output.LayerNorm.bias_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   646  |                       646  |                      296  |                    29.72  |                   64.86  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |          ff.bert.encoder.layer.0.attention.self.query.bias_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   645  |                       645  |                      296  |                    29.77  |                   64.86  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                                       norm_mha_0_var_plus_eps  |                 0->0  |     [1, 1]  |                   628  |                       628  |                      631  |                      5.1  |                    5.07  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |            ff.bert.encoder.layer.1.output.LayerNorm.weight_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   617  |                       617  |                      392  |                    31.12  |                   48.98  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |            ff.bert.encoder.layer.1.attention.self.key.bias_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   607  |                       607  |                      392  |                    31.63  |                   48.98  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |          ff.bert.encoder.layer.0.attention.self.value.bias_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   594  |                       594  |                      392  |                    32.32  |                   48.98  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |            ff.bert.encoder.layer.0.attention.self.key.bias_s_brcst_m2_0_0.lc1  |                 0->0  |     [1, 1]  |                   593  |                       593  |                      392  |                    32.38  |                   48.98  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |                                           norm_mha_0_recip_s_brcst_m1_0_0.lc1  |                 0->0  |     [1, 1]  |                   582  |                       582  |                      399  |                    32.99  |                   48.12  
               [1]  |    ['run_fwd']  |  fwd_1_temporal_epoch_0  |  << BW for some pipes not measured. >>  |               lc.input_tensor.mha_0_as_softmax.dc.reduce_sum.1.0_splt_brcst_1  |                 0->0  |     [1, 1]  |                   578  |                       578  |                     1444  |                     5.54  |                    2.22  
