global_epoch_ids,program_names,graph_name,warnings,op_name,first_to_last_input,grid_size,kernel_total_runtime,kernel_runtime_per_input,model_runtime_per_input,kernel_math_utilization,model_math_utilization,bw_limited_factor,slowest_operand,bw_bound_total_runtime,bw_bound_runtime_per_input,bw_bound_math_utilization,output_pipe_bw_0,required_output_pipe_bw_0,input_pipe_bw_0,required_input_bw_0,input_pipe_bw_1,required_input_bw_1,input_pipe_bw_2,required_input_bw_2,input_pipe_bw_3,required_input_bw_3,input_pipe_bw_4,required_input_bw_4,input_pipe_bw_5,required_input_bw_5,input_pipe_bw_6,required_input_bw_6,input_pipe_bw_7,required_input_bw_7
[1],['run_fwd'],fwd_1_temporal_epoch_0,,mha_0_as_softmax.dc.exp.0,0->0,"[1, 1]",114164,114164,113920,82.97,83.15,1,N/A,114164,114164,82.97,6.27,1.17,7.09,1.17,,,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,norm_mha_0_sub,0->0,"[1, 1]",2066,2066,3462,6.2,3.7,53.17,output,109841,109841,0.12,0.3,16.11,0,16.11,3.45,16.11,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,norm_mha_0_recip_s_brcst_m1_0_0.lc1,0->0,"[1, 1]",582,582,399,32.99,48.12,144.63,output,84175,84175,0.23,0.1,14.3,0,14.3,0,3.57,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,,norm_mha_0_bias,0->0,"[1, 1]",1723,1723,2055,7.43,6.23,30.71,output,52916,52916,0.24,0.63,19.32,0.79,19.32,8.64,19.32,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,,mha_0_as_div,0->0,"[1, 1]",5405,5405,10541,28.42,14.57,8.54,output,46182,46182,3.33,2.88,24.63,9.78,24.63,9.46,24.63,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,,ff_0_ff2.bias,0->0,"[1, 1]",1702,1702,2055,7.52,6.23,26.91,output,45795,45795,0.28,0.73,19.55,14.43,19.55,7.5,19.55,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,,mha_0_as_softmax.dc.reciprocal.2,0->0,"[1, 1]",14898,14898,14688,73.03,74.07,2.54,output,37862,37862,28.74,0.88,2.23,2.15,2.23,,,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.0.attention.self.value.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",594,594,392,32.32,48.98,38.82,output,23061,23061,0.83,0.36,14.01,0,3.5,0,14.01,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,,mha_0_ac,0->0,"[1, 1]",3927,3927,3778,78.23,81.31,5.8,output,22757,22757,13.5,1.46,8.47,9.66,33.9,6.37,8.47,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,,mha_0_as_softmax.dc.multiply.3,0->0,"[1, 1]",7445,7445,14093,20.63,10.9,2.89,input-1,21534.67,21535,7.13,8.24,17.88,6.2,17.88,6.18,17.88,,,,,,,,,,,,
