global_epoch_ids,program_names,graph_name,warnings,op_name,first_to_last_input,grid_size,kernel_total_runtime,kernel_runtime_per_input,model_runtime_per_input,kernel_math_utilization,model_math_utilization,bw_limited_factor,slowest_operand,bw_bound_total_runtime,bw_bound_runtime_per_input,bw_bound_math_utilization,output_pipe_bw_0,required_output_pipe_bw_0,input_pipe_bw_0,required_input_bw_0,input_pipe_bw_1,required_input_bw_1,input_pipe_bw_2,required_input_bw_2,input_pipe_bw_3,required_input_bw_3,input_pipe_bw_4,required_input_bw_4,input_pipe_bw_5,required_input_bw_5,input_pipe_bw_6,required_input_bw_6,input_pipe_bw_7,required_input_bw_7
[1],['run_fwd'],fwd_1_temporal_epoch_0,,mha_0_as_mask,0->0,"[1, 1]",5663,5663,8223,9.04,6.23,3.51,output,19882,19882,2.58,6.7,23.51,7.76,23.51,8.92,23.51,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,add_mha_0,0->0,"[1, 1]",2047,2047,3461,6.25,3.7,9.43,output,19307,19307,0.66,1.72,16.26,0,16.26,7.02,16.26,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.reciprocal_of_sqrt_of_head_size_1_s_brcst_m2_0_1.lc1,0->0,"[1, 1]",917,917,585,20.94,32.82,20.52,output,18817,18817,1.02,0.44,9.07,0,9.07,0,9.07,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,,mha_0_as_softmax.dc.reduce_sum.1.lc1,0->0,"[1, 1]",3980,3980,3778,77.19,81.31,4.55,input-0,18124,18124,16.95,32.15,8.36,7.34,33.45,4.82,8.36,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,,ff0_gelu,0->0,"[1, 1]",18014,18014,17370,48.32,50.11,1,N/A,18014,18014,48.32,188.29,7.39,18.43,7.39,,,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff_0_ff1,0->0,"[1, 1]",17554,17554,17420,72.92,73.48,1,N/A,17554,17554,72.92,14.53,7.58,0,1.9,0,7.58,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,attention_mask_s_brcst_m2_1_1.lc1,0->0,"[1, 1]",1431,1431,1184,53.67,64.86,11.22,output,16058,16058,4.78,2.07,23.26,0,5.81,N/A,23.26,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,mha_0_value,0->0,"[1, 1]",3993,3993,4044,76.93,75.96,3.93,output,15684,15684,19.59,2.12,8.33,0,8.33,0,8.33,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,,ff.reciprocal_of_sqrt_of_head_size_0_s_brcst_m1_0_2.lc1_splt_brcst_2,0->0,"[1, 1]",1325,1325,3336,9.66,3.84,11.52,output,15259,15259,0.84,2.18,25.12,3.5,25.12,,,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,mha_0_as,0->0,"[1, 1]",8189,8189,6388,37.51,48.09,1.84,output,15062,15062,20.4,8.84,16.26,0,4.06,8.94,4.06,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff_0_ff2,0->0,"[1, 1]",14807,14807,14491,83.85,85.68,1,N/A,14807,14807,83.85,88.51,2.25,22.97,8.99,0,8.99,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.0.intermediate.dense.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",1439,1439,991,53.37,77.5,8.09,output,11640,11640,6.6,2.86,23.13,0,1.45,0,23.13,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.reciprocal_of_sqrt_of_head_size_0_s_brcst_m1_0_2.lc1,0->0,"[1, 1]",905,905,585,21.22,32.82,9.36,output,8468,8468,2.27,0.98,9.19,2.2,9.19,0,9.19,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,,ff_0_ff1.bias,0->0,"[1, 1]",5312,5312,8223,9.64,6.23,1.54,input-1,8168.92,8169,6.27,189.63,25.06,21.59,25.06,16.3,25.06,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,lc.input_tensor.mha_0_as_softmax.dc.reduce_sum.1.0_splt_brcst_1,0->0,"[1, 1]",578,578,1444,5.54,2.22,13.38,output,7734,7734,0.41,1.08,14.39,0,14.39,,,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,,mha_0_output.bias,0->0,"[1, 1]",1715,1715,2055,7.46,6.23,3.72,input-0,6384,6384,2.01,8.57,19.41,5.21,19.41,9.61,19.41,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,add_ff_0,0->0,"[1, 1]",2017,2017,3461,6.35,3.7,2.7,output,5440,5440,2.35,6.12,16.5,0,16.5,0,16.5,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,mha_0_key.bias,0->0,"[1, 1]",3001,3001,5335,4.27,2.4,1.67,input-0,5024,5024,2.55,7.39,11.09,6.62,11.09,0,11.09,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.0.attention.output.LayerNorm.weight_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",663,663,296,28.96,64.86,6.91,output,4581,4581,4.19,1.82,12.55,0,3.14,0,12.55,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.0.attention.self.query.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",645,645,296,29.77,64.86,7.04,output,4544,4544,4.23,1.83,12.9,0,3.22,0,12.9,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,mha_0_value.bias,0->0,"[1, 1]",2065,2065,3461,6.2,3.7,2.05,output,4236,4236,3.02,7.86,16.12,0,16.12,0,16.12,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,mha_0_query,0->0,"[1, 1]",3808,3808,3618,80.67,84.91,1.08,output,4120,4120,74.56,8.08,8.74,N/A,8.74,0,8.74,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,norm_mha_0_recip,0->0,"[1, 1]",3998,3998,3648,68.03,74.56,1,N/A,3998,3998,68.03,28.59,2.08,0,2.08,,,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,,norm_mha_0_sq,0->0,"[1, 1]",1734,1734,2191,22.15,17.53,2.28,input-1,3948.8,3949,9.72,88.75,19.19,9.44,19.19,8.43,19.19,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,mha_0_key,0->0,"[1, 1]",3891,3891,4044,78.95,75.96,1,N/A,3891,3891,78.95,88.75,8.55,0,8.55,0,8.55,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,norm_mha_0_sqrt,0->0,"[1, 1]",3881,3881,3648,67.2,71.49,1,N/A,3881,3881,67.2,28.59,2.14,0,2.14,,,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,norm_mha_0_mean.lc1,0->0,"[1, 1]",1249,1249,1037,61.49,74.06,3.07,output,3829,3829,20.06,2.17,6.66,0,26.65,0,6.66,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.0.attention.self.key.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",593,593,392,32.38,48.98,6.45,output,3826,3826,5.02,2.17,14.03,0,3.51,0,14.03,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.0.attention.output.dense.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",664,664,296,28.92,64.86,5.71,output,3791,3791,5.06,2.19,12.53,0,3.13,0,12.53,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.0.attention.output.LayerNorm.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",646,646,296,29.72,64.86,5.86,output,3788,3788,5.07,2.2,12.88,0,3.22,0,12.88,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,mha_0_output,0->0,"[1, 1]",3782,3782,3618,81.23,84.91,1,N/A,3782,3782,81.23,89.22,8.8,0,8.8,0,8.8,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.0.output.dense.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",662,662,296,29,64.86,5.44,output,3599,3599,5.33,2.31,12.57,0,3.14,0,12.57,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,,norm_mha_0_weights,0->0,"[1, 1]",1593,1593,2635,24.11,14.57,2.06,input-1,3282.29,3282,11.7,90.68,20.89,18.56,20.89,10.14,20.89,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,,mha_0_query.bias,0->0,"[1, 1]",3000,3000,5335,4.27,2.4,1.08,input-0,3248,3248,3.94,90.93,11.09,10.25,11.09,11.47,11.09,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,norm_ff_0_mean.lc1,0->0,"[1, 1]",1230,1230,1037,62.44,74.06,2.5,input-0,3075.43,3075,24.97,28.69,6.76,10.82,27.06,0,6.76,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,attention_mask_s_brcst_m2_0_1.lc1,0->0,"[1, 1]",1525,1525,1184,50.36,64.86,1.98,output,3020,3020,25.43,11.02,21.82,0,5.46,0,21.82,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,norm_mha_0_output,0->0,"[1, 1]",1592,1592,2635,24.12,14.57,1,N/A,1592,1592,24.12,90.19,20.9,0,20.9,0,20.9,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.intermediate.dense.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",1414,1414,991,54.31,77.5,1,N/A,1414,1414,54.31,89.22,23.54,0,1.47,0,23.54,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,norm_mha_0_var.lc1,0->0,"[1, 1]",1257,1257,944,61.1,81.36,1,N/A,1257,1257,61.1,27.92,6.62,0,26.48,0,6.62,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.reciprocal_of_sqrt_of_head_size_1_s_brcst_m1_0_2.lc1,0->0,"[1, 1]",919,919,585,20.89,32.82,1,N/A,919,919,20.89,13.33,9.05,0,9.05,0,9.05,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.reciprocal_of_sqrt_of_head_size_0_s_brcst_m2_0_1.lc1,0->0,"[1, 1]",905,905,585,21.22,32.82,1,N/A,905,905,21.22,13.1,9.19,0,9.19,0,9.19,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.0.output.LayerNorm.weight_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",689,689,296,27.87,64.86,1,N/A,689,689,27.87,27.73,12.08,0,3.02,0,12.08,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.attention.output.LayerNorm.weight_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",687,687,296,27.95,64.86,1,N/A,687,687,27.95,28.2,12.11,0,3.03,0,12.11,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.attention.output.LayerNorm.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",683,683,296,28.11,64.86,1,N/A,683,683,28.11,28.3,12.18,0,3.05,0,12.18,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.attention.output.dense.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",682,682,296,28.15,64.86,1,N/A,682,682,28.15,28.3,12.2,0,3.05,0,12.2,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.0.output.LayerNorm.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",666,666,296,28.83,64.86,1,N/A,666,666,28.83,28.2,12.49,0,3.12,0,12.49,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.output.dense.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",663,663,296,28.96,64.86,1,N/A,663,663,28.96,28.2,12.55,0,3.14,0,12.55,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,norm_mha_0_var_plus_eps,0->0,"[1, 1]",628,628,631,5.1,5.07,1,N/A,628,628,5.1,28.89,13.25,0,13.25,0,13.25,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.output.LayerNorm.weight_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",617,617,392,31.12,48.98,1,N/A,617,617,31.12,29.4,13.48,0,3.37,0,13.48,,,,,,,,,,,,
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.attention.self.key.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",607,607,392,31.63,48.98,1,N/A,607,607,31.63,29.5,13.71,0,3.43,0,13.71,,,,,,,,,,,,
