global_epoch_ids,program_names,graph_name,warnings,op_name,first_to_last_input,grid_size,operand,source/dest,pipe_type,required_kernel_bw,pipe_bw,percentage_of_difference
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,mha_0_query,0->0,"[1, 1]",input-0,encoder_input,input-queue-pipe,8.74,N/A,N/A
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,attention_mask_s_brcst_m2_1_1.lc1,0->0,"[1, 1]",input-1,attention_mask,input-queue-pipe,23.26,N/A,N/A
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.output.LayerNorm.weight_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",input-0,lc.input_tensor.ff.bert.encoder.layer.1.output.LayerNorm.weight_s_brcst_m2_0_0.0,input-queue-pipe,3.37,0,-100
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.output.LayerNorm.weight_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",input-1,ff.bert.encoder.layer.1.output.LayerNorm.weight,input-queue-pipe,13.48,0,-100
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.reciprocal_of_sqrt_of_head_size_1_s_brcst_m1_0_2.lc1,0->0,"[1, 1]",input-0,ff.reciprocal_of_sqrt_of_head_size_1_s_brcst_m2_0_1.lc1,input-op-pipe,9.05,0,-100
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.reciprocal_of_sqrt_of_head_size_1_s_brcst_m1_0_2.lc1,0->0,"[1, 1]",input-1,lc.input_tensor.ff.reciprocal_of_sqrt_of_head_size_1_s_brcst_m1_0_2.0,input-queue-pipe,9.05,0,-100
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.0.attention.output.dense.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",input-0,lc.input_tensor.ff.bert.encoder.layer.0.attention.output.dense.bias_s_brcst_m2_0_0.0,input-queue-pipe,3.13,0,-100
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.0.attention.output.dense.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",input-1,ff.bert.encoder.layer.0.attention.output.dense.bias,input-queue-pipe,12.53,0,-100
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,mha_0_query,0->0,"[1, 1]",input-1,ff.bert.encoder.layer.0.attention.self.query.weight,input-queue-pipe,8.74,0,-100
[1],['run_fwd'],fwd_1_temporal_epoch_0,<< BW for some pipes not measured. >>,norm_mha_0_recip,0->0,"[1, 1]",input-0,norm_mha_0_sqrt,input-op-pipe,2.08,0,-100
